woocommerce_name,supabase_id,supabase_name,supabase_status,match_type
Albanju,a5a5e9e1-3392-484a-b48f-4aca71fbb122,Albanju,active,exact
Alice Cthulhu,3457232b-cb8c-4daa-b386-95895c50a7d6,Alice Cthulhu,active,exact
All Guitar Bundle,de75e8b5-cb98-46da-8498-0486e130384f,All Guitar Bundle,active,exact
Analog Plugin Bundle,90bcf8a0-c3a0-487a-87ce-af085689ba49,Analog Plugin Bundle,active,exact
Apache Flute,0ba4b698-da40-49a6-9bde-f363adccc3fa,Apache Flute,active,exact
Apache MIDI,34fd6bb0-410e-4aff-a01d-8083596e7098,Apache MIDI,active,exact
Atmosphere Bundle,0de3afc4-13c7-4965-80a0-6b257afe0c88,Atmosphere Bundle,active,exact
Bakers Delight MIDI,9fdd6900-da3e-434d-8a5d-10cfe66dc337,Bakers Delight MIDI,active,exact
Bakers Dozen,0bcb1962-10ce-420b-937f-8ef65edb936e,Bakers Dozen,active,exact
Blaque,9d6020d0-ac39-4b11-8688-ead24f5c81ee,Blaque,active,exact
Blossom MIDI,ab9f4420-e7e7-4b8a-afe6-10523b7d6c08,Blossom MIDI,active,exact
Broken MIDI,3aff3e94-4fda-4460-9a51-7d501c277a36,Broken MIDI,active,exact
Cowboy Harp,46aaabea-901f-4893-ad99-ea294b2914cc,Cowboy Harp,active,exact
Cryptic Tales MIDI,8e69ef7a-47b2-4c45-9aec-3dc99d202e65,Cryptic Tales MIDI,active,exact
Crystal Ball – Magic Multi Effect,16f8a174-6178-4996-9331-3b2c921ed17c,Crystal Ball,active,normalized
Cthulhu Bundle 1 – Xmas 2023,c00b22e5-1647-4145-b531-6ccb54e4c529,Cthulhu Bundle 1,active,normalized
Cthulhu Godz 1,8c01eb8f-9183-4f6d-8c4d-fd9cf593a866,Cthulhu Godz 1,active,exact
Cthulhu Godz 2,19775982-017e-44c2-8d44-abb4f7a3490d,Cthulhu Godz 2,active,exact
Curves EQ,ae91f922-c778-4fef-91b7-74a7f7d1b7a9,Curves EQ,active,exact
Cymasphere,c699bf58-1af7-4bff-b05c-0f76275c0c62,Cymasphere,active,exact
Demented Wisdom MIDI,f98826e2-973c-4f1c-9109-c12a8289b900,Demented Wisdom MIDI,active,exact
Digital Echoes Delay,a03c75f0-d5c3-4689-9124-a787dd351fe8,Digital Echoes Delay,active,exact
DigitalDreamscape FULL,e579dbd6-8b3d-451d-a5f9-8b1066e34b89,DigitalDreamscape,active,normalized
DigitalDreamscape TRIAL,e579dbd6-8b3d-451d-a5f9-8b1066e34b89,DigitalDreamscape,active,normalized
Drum & Bass Bundle,08ea4008-1908-405a-bd36-4cf50de780bf,Drum & Bass Bundle,active,exact
Drum & Perc Bundle,4ce5e019-9f08-4f18-a903-d9776deb625b,Drum & Perc Bundle,active,exact
Element Cthulhu,cc9c70b8-b167-4778-bf7e-42b7012ad79e,Element Cthulhu,active,exact
Enchanted Melodies MIDI Pack Bundle,8fa7f953-c1d5-4143-a47b-def7876c8fe5,Enchanted Melodies MIDI Pack Bundle,active,exact
Evanescent Baby Grand Piano,28eece1b-df54-4593-82a7-e9a21d6c3fcb,Evanescent Baby Grand Piano,active,exact
Flower Cthulhu,de2da995-64f6-4424-89c1-7013c941210c,Flower Cthulhu,active,exact
Free Tetrad Guitars Plugin,64d10503-970f-47ec-b86d-70528c5a2fdf,Tetrad Guitars,active,normalized
Free Tetrad Keys Plugin,0d8fa4b1-43c0-44a4-86f1-821966ecf430,Tetrad Keys,active,normalized
FreeQ,ed4723ea-7f3f-4558-9d24-1265773ae4b7,FreeQ,active,exact
Freelay,a617d04c-13cb-403c-8e12-0dcf13603859,Freelay,active,exact
Freeverb,8c9d3944-873e-4761-8601-f7cc5067a10f,Freeverb,active,exact
Fruit Salad MIDI,21d8b116-dac9-4577-9147-c78bc0be17da,Fruit Salad MIDI,active,exact
Game Boi,bd7fc185-5f90-4fc1-912e-2f41ca77830d,Game Boi,active,exact
